"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2024";"0000";"24,1";"25,1";"24,1";"29,0";"30,0";"27,0";"5,2";"5,2";"4,6";"888,0";"888,0";"887,5";"3,1";"90,0";"6,4";"";"0,0"
"01/10/2024";"0100";"23,4";"24,3";"23,3";"29,0";"30,0";"28,0";"4,1";"5,3";"4,1";"888,3";"888,3";"888,0";"3,0";"86,0";"6,2";"";"0,0"
"01/10/2024";"0200";"23,2";"23,7";"23,0";"28,0";"29,0";"28,0";"3,7";"4,2";"3,7";"888,4";"888,6";"888,3";"3,0";"83,0";"5,5";"";"0,0"
"01/10/2024";"0300";"22,9";"23,2";"22,5";"28,0";"29,0";"28,0";"3,3";"3,7";"3,3";"888,2";"888,4";"888,1";"2,4";"75,0";"5,4";"";"0,0"
"01/10/2024";"0400";"22,4";"23,0";"21,9";"29,0";"30,0";"28,0";"3,6";"3,6";"3,2";"887,4";"888,2";"887,4";"2,5";"80,0";"4,8";"";"0,0"
"01/10/2024";"0500";"21,8";"22,6";"21,6";"31,0";"31,0";"29,0";"3,9";"3,9";"3,5";"886,6";"887,4";"886,6";"2,4";"70,0";"5,4";"";"0,0"
"01/10/2024";"0600";"21,3";"22,0";"21,2";"33,0";"33,0";"31,0";"4,4";"4,4";"3,9";"886,0";"886,6";"886,0";"2,0";"65,0";"5,3";"";"0,0"
"01/10/2024";"0700";"20,9";"21,4";"20,7";"34,0";"35,0";"33,0";"4,6";"4,7";"4,3";"886,0";"886,0";"886,0";"1,8";"58,0";"4,8";"";"0,0"
"01/10/2024";"0800";"21,0";"21,2";"20,7";"37,0";"37,0";"34,0";"5,6";"5,6";"4,5";"886,5";"886,5";"886,0";"2,9";"77,0";"6,3";"";"0,0"
"01/10/2024";"0900";"20,5";"21,3";"20,4";"40,0";"40,0";"36,0";"6,4";"6,4";"5,6";"887,6";"887,6";"886,5";"3,2";"71,0";"6,3";"";"0,0"
"01/10/2024";"1000";"21,3";"21,3";"20,4";"42,0";"42,0";"40,0";"8,0";"8,0";"6,5";"888,4";"888,4";"887,6";"3,1";"79,0";"6,4";"348,00";"0,0"
"01/10/2024";"1100";"22,8";"22,8";"21,3";"42,0";"44,0";"42,0";"9,3";"9,3";"8,1";"889,1";"889,1";"888,4";"3,4";"76,0";"8,4";"1247,20";"0,0"
"01/10/2024";"1200";"24,5";"24,9";"22,6";"40,0";"42,0";"39,0";"9,9";"10,1";"8,9";"889,6";"889,6";"889,1";"3,8";"80,0";"8,2";"2147,50";"0,0"
"01/10/2024";"1300";"26,2";"26,4";"24,3";"35,0";"41,0";"35,0";"9,6";"10,5";"9,3";"889,5";"889,8";"889,5";"4,3";"88,0";"9,2";"2883,20";"0,0"
"01/10/2024";"1400";"28,0";"28,0";"25,9";"32,0";"36,0";"32,0";"9,5";"10,2";"9,1";"889,0";"889,5";"889,0";"3,8";"78,0";"8,2";"3399,20";"0,0"
"01/10/2024";"1500";"29,0";"29,2";"27,0";"29,0";"33,0";"26,0";"9,1";"9,9";"8,0";"888,0";"889,0";"888,0";"3,9";"87,0";"8,6";"3653,70";"0,0"
"01/10/2024";"1600";"30,0";"30,2";"28,5";"22,0";"29,0";"22,0";"5,9";"8,7";"5,8";"886,5";"888,0";"886,5";"2,7";"110,0";"7,7";"3590,80";"0,0"
"01/10/2024";"1700";"31,1";"31,1";"29,3";"20,0";"22,0";"19,0";"5,6";"6,1";"4,3";"885,3";"886,5";"885,3";"2,3";"355,0";"6,6";"3244,20";"0,0"
"01/10/2024";"1800";"30,2";"31,6";"30,0";"19,0";"20,0";"17,0";"3,8";"5,5";"3,0";"884,7";"885,3";"884,7";"2,8";"120,0";"6,8";"2830,10";"0,0"
"01/10/2024";"1900";"30,4";"31,1";"30,0";"19,0";"19,0";"17,0";"4,2";"4,5";"3,1";"884,4";"884,9";"884,4";"1,8";"181,0";"6,6";"2102,50";"0,0"
"01/10/2024";"2000";"30,2";"31,1";"29,7";"20,0";"21,0";"19,0";"4,8";"5,1";"4,0";"884,5";"884,5";"884,4";"2,0";"96,0";"6,3";"1215,20";"0,0"
"01/10/2024";"2100";"27,9";"30,2";"27,9";"24,0";"24,0";"20,0";"5,6";"5,6";"4,3";"884,9";"884,9";"884,5";"2,4";"130,0";"4,8";"305,50";"0,0"
"01/10/2024";"2200";"26,2";"27,9";"26,2";"27,0";"27,0";"24,0";"5,6";"5,6";"5,1";"885,3";"885,3";"884,9";"1,6";"120,0";"4,2";"";"0,0"
"01/10/2024";"2300";"25,8";"26,4";"25,8";"28,0";"28,0";"27,0";"6,1";"6,1";"5,7";"886,1";"886,1";"885,3";"2,1";"105,0";"4,1";"";"0,0"
"02/10/2024";"0000";"25,0";"25,9";"25,0";"31,0";"31,0";"28,0";"6,9";"6,9";"6,1";"886,7";"886,7";"886,1";"2,2";"90,0";"3,8";"";"0,0"
"02/10/2024";"0100";"22,7";"25,1";"22,2";"38,0";"39,0";"31,0";"7,7";"7,7";"6,9";"887,1";"887,1";"886,7";"1,1";"49,0";"3,8";"";"0,0"
