"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"02/01/2024";"0000";"24,3";"24,6";"24,2";"92,0";"92,0";"91,0";"22,8";"23,1";"22,6";"1010,4";"1010,4";"1009,9";"0,7";"74,0";"1,3";"";"0,0"
"02/01/2024";"0100";"23,9";"24,4";"23,9";"92,0";"92,0";"90,0";"22,6";"22,8";"22,5";"1010,2";"1010,5";"1010,2";"0,4";"191,0";"1,4";"";"0,0"
"02/01/2024";"0200";"23,7";"24,0";"23,7";"95,0";"95,0";"92,0";"22,8";"23,0";"22,5";"1010,0";"1010,3";"1010,0";"0,5";"89,0";"1,0";"";"0,0"
"02/01/2024";"0300";"23,8";"23,8";"23,6";"95,0";"95,0";"95,0";"23,0";"23,0";"22,7";"1009,4";"1010,0";"1009,4";"0,3";"357,0";"0,9";"";"0,0"
"02/01/2024";"0400";"23,5";"23,8";"23,5";"96,0";"96,0";"95,0";"22,7";"23,0";"22,7";"1008,7";"1009,3";"1008,7";"0,3";"194,0";"0,6";"";"0,0"
"02/01/2024";"0500";"23,3";"23,6";"23,3";"96,0";"96,0";"96,0";"22,7";"23,0";"22,6";"1008,2";"1008,8";"1008,2";"0,3";"178,0";"0,9";"";"0,0"
"02/01/2024";"0600";"23,4";"23,5";"23,3";"96,0";"96,0";"96,0";"22,7";"22,8";"22,6";"1008,0";"1008,2";"1008,0";"0,3";"199,0";"0,6";"";"0,0"
"02/01/2024";"0700";"23,0";"23,5";"23,0";"96,0";"96,0";"96,0";"22,4";"22,9";"22,3";"1008,3";"1008,3";"1008,0";"1,0";"142,0";"2,1";"";"0,0"
"02/01/2024";"0800";"23,0";"23,1";"22,9";"96,0";"96,0";"96,0";"22,3";"22,4";"22,1";"1008,9";"1008,9";"1008,3";"1,1";"136,0";"2,0";"";"0,0"
"02/01/2024";"0900";"23,4";"23,4";"23,0";"94,0";"96,0";"94,0";"22,4";"22,5";"22,2";"1009,4";"1009,4";"1008,9";"1,0";"144,0";"2,2";"53,20";"0,0"
"02/01/2024";"1000";"24,7";"24,7";"23,4";"91,0";"94,0";"91,0";"23,2";"23,2";"22,5";"1010,1";"1010,1";"1009,4";"1,3";"153,0";"2,4";"410,40";"0,0"
