"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2024";"0000";"21,0";"21,4";"21,0";"90,0";"91,0";"90,0";"19,3";"19,8";"19,3";"917,4";"917,4";"917,1";"2,3";"112,0";"4,7";"0,90";"0,0"
"01/01/2024";"0100";"20,7";"21,0";"20,7";"90,0";"90,0";"90,0";"19,0";"19,3";"19,0";"918,0";"918,0";"917,4";"1,8";"85,0";"5,7";"";"0,0"
"01/01/2024";"0200";"20,6";"20,8";"20,6";"90,0";"90,0";"90,0";"18,9";"19,1";"18,9";"918,5";"918,6";"918,0";"1,1";"82,0";"5,0";"";"0,0"
"01/01/2024";"0300";"20,7";"20,8";"20,6";"88,0";"90,0";"88,0";"18,7";"19,0";"18,7";"918,2";"918,5";"918,1";"0,6";"73,0";"4,0";"1,70";"0,0"
"01/01/2024";"0400";"20,4";"20,8";"20,4";"88,0";"89,0";"88,0";"18,4";"18,7";"18,3";"917,9";"918,2";"917,9";"1,6";"104,0";"5,4";"2,10";"0,0"
"01/01/2024";"0500";"20,2";"20,5";"20,2";"89,0";"89,0";"88,0";"18,4";"18,5";"18,3";"917,6";"917,9";"917,6";"1,1";"120,0";"4,3";"";"0,0"
"01/01/2024";"0600";"20,2";"20,5";"20,2";"91,0";"91,0";"89,0";"18,7";"18,7";"18,4";"917,0";"917,6";"917,0";"1,1";"106,0";"2,6";"";"2,6"
"01/01/2024";"0700";"19,8";"20,2";"19,7";"92,0";"92,0";"91,0";"18,4";"18,7";"18,4";"916,9";"917,0";"916,8";"1,1";"101,0";"3,3";"";"4,6"
"01/01/2024";"0800";"19,2";"19,8";"19,2";"92,0";"92,0";"92,0";"17,8";"18,4";"17,8";"917,2";"917,2";"916,8";"0,5";"102,0";"3,1";"";"0,8"
"01/01/2024";"0900";"19,5";"19,5";"19,1";"92,0";"92,0";"92,0";"18,1";"18,2";"17,8";"917,7";"917,7";"917,2";"0,3";"83,0";"2,7";"24,60";"1,0"
"01/01/2024";"1000";"19,7";"19,8";"19,4";"92,0";"92,0";"92,0";"18,4";"18,4";"18,1";"917,9";"918,1";"917,7";"0,6";"97,0";"2,7";"95,90";"0,0"
"01/01/2024";"1100";"20,3";"20,3";"19,5";"90,0";"92,0";"90,0";"18,6";"18,8";"18,2";"918,3";"918,4";"917,9";"1,4";"99,0";"4,0";"441,20";"0,2"
"01/01/2024";"1200";"20,6";"20,6";"20,2";"90,0";"90,0";"89,0";"18,9";"18,9";"18,4";"918,6";"918,6";"918,3";"2,1";"112,0";"4,9";"515,80";"0,0"
"01/01/2024";"1300";"22,0";"22,0";"20,6";"86,0";"90,0";"85,0";"19,4";"19,7";"18,8";"918,6";"918,7";"918,6";"2,1";"100,0";"5,7";"1347,20";"0,0"
