"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"20,6";"21,4";"20,6";"85,0";"85,0";"80,0";"17,9";"18,0";"17,7";"920,0";"920,0";"919,0";"1,7";"140,0";"4,1";"";"0,0"
"01/01/2023";"0100";"20,1";"20,6";"20,0";"89,0";"89,0";"85,0";"18,3";"18,3";"17,9";"920,4";"920,4";"920,0";"1,3";"152,0";"4,3";"";"0,8"
"01/01/2023";"0200";"19,9";"20,1";"19,9";"90,0";"90,0";"89,0";"18,2";"18,4";"18,1";"920,6";"920,6";"920,3";"1,3";"150,0";"2,7";"";"0,0"
"01/01/2023";"0300";"19,6";"19,9";"19,6";"91,0";"91,0";"89,0";"18,1";"18,2";"18,0";"920,2";"920,6";"920,2";"0,4";"205,0";"3,0";"";"0,4"
"01/01/2023";"0400";"19,3";"19,8";"19,3";"91,0";"91,0";"91,0";"17,9";"18,2";"17,8";"918,7";"920,2";"918,7";"0,5";"4,0";"1,6";"";"0,4"
"01/01/2023";"0500";"19,4";"19,5";"19,3";"92,0";"92,0";"91,0";"18,0";"18,1";"17,9";"918,1";"918,7";"918,1";"0,7";"203,0";"2,3";"";"0,2"
"01/01/2023";"0600";"19,2";"19,4";"19,1";"92,0";"92,0";"92,0";"17,9";"18,0";"17,7";"918,1";"918,3";"918,1";"0,3";"135,0";"1,6";"";"0,0"
"01/01/2023";"0700";"18,9";"19,3";"18,9";"91,0";"92,0";"91,0";"17,5";"17,9";"17,5";"918,4";"918,4";"918,0";"0,0";"355,0";"1,9";"";"0,0"
"01/01/2023";"0800";"19,4";"19,4";"18,9";"89,0";"92,0";"89,0";"17,5";"17,8";"17,4";"918,7";"918,7";"918,4";"0,9";"113,0";"2,4";"";"0,2"
"01/01/2023";"0900";"19,6";"19,6";"19,3";"88,0";"89,0";"87,0";"17,6";"17,6";"17,4";"919,0";"919,0";"918,7";"0,6";"86,0";"2,6";"42,40";"0,0"
