"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2024";"0000";"27,4";"28,2";"27,4";"82,0";"86,0";"80,0";"24,1";"25,5";"23,8";"1009,8";"1009,8";"1009,2";"1,3";"193,0";"4,7";"";"0,0"
"01/01/2024";"0100";"27,2";"27,4";"27,1";"84,0";"84,0";"82,0";"24,2";"24,3";"24,0";"1010,8";"1010,8";"1009,8";"0,4";"242,0";"4,2";"";"0,0"
"01/01/2024";"0200";"26,4";"27,2";"26,4";"90,0";"91,0";"84,0";"24,7";"24,8";"24,3";"1010,7";"1010,8";"1010,3";"0,0";"242,0";"1,6";"";"0,0"
"01/01/2024";"0300";"26,9";"26,9";"26,2";"88,0";"91,0";"88,0";"24,8";"24,9";"24,7";"1010,2";"1010,8";"1010,2";"0,3";"248,0";"1,8";"";"0,0"
"01/01/2024";"0400";"26,9";"27,1";"26,8";"89,0";"89,0";"88,0";"24,8";"24,9";"24,7";"1009,7";"1010,2";"1009,7";"0,0";"236,0";"3,0";"";"0,0"
"01/01/2024";"0500";"26,4";"26,9";"26,4";"92,0";"92,0";"89,0";"25,0";"25,0";"24,8";"1009,2";"1009,7";"1009,2";"0,9";"236,0";"1,9";"";"0,0"
"01/01/2024";"0600";"26,0";"26,4";"26,0";"94,0";"94,0";"92,0";"24,9";"25,1";"24,9";"1008,6";"1009,2";"1008,6";"0,2";"236,0";"1,8";"";"0,0"
"01/01/2024";"0700";"26,2";"26,2";"25,9";"93,0";"95,0";"93,0";"24,9";"25,1";"24,9";"1008,3";"1008,6";"1008,3";"0,3";"236,0";"1,9";"";"0,0"
"01/01/2024";"0800";"26,0";"26,2";"25,9";"95,0";"95,0";"93,0";"25,1";"25,1";"24,9";"1008,5";"1008,8";"1008,3";"1,0";"236,0";"2,7";"";"0,0"
"01/01/2024";"0900";"25,7";"26,0";"25,6";"95,0";"96,0";"94,0";"24,9";"25,1";"24,8";"1008,9";"1008,9";"1008,4";"0,6";"248,0";"2,7";"";"0,0"
"01/01/2024";"1000";"25,8";"25,8";"25,5";"94,0";"96,0";"94,0";"24,8";"24,9";"24,7";"1009,7";"1009,7";"1008,9";"0,6";"248,0";"1,8";"20,00";"0,0"
"01/01/2024";"1100";"26,0";"26,1";"25,6";"92,0";"95,0";"91,0";"24,6";"24,9";"24,4";"1010,4";"1010,5";"1009,7";"1,7";"284,0";"3,4";"213,00";"0,0"
"01/01/2024";"1200";"26,1";"26,2";"25,8";"92,0";"93,0";"91,0";"24,7";"24,7";"24,5";"1011,3";"1011,3";"1010,4";"1,0";"295,0";"3,4";"163,20";"0,0"
"01/01/2024";"1300";"26,7";"26,8";"26,1";"90,0";"93,0";"90,0";"25,1";"25,3";"24,7";"1011,8";"1011,8";"1011,3";"0,9";"313,0";"2,7";"388,60";"0,0"
"01/01/2024";"1400";"25,6";"26,7";"25,4";"95,0";"95,0";"90,0";"24,7";"25,1";"24,4";"1011,3";"1012,1";"1011,3";"0,3";"342,0";"3,3";"295,20";"2,8"
