"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"24,3";"25,9";"24,3";"83,0";"83,0";"75,0";"21,1";"21,6";"20,9";"951,0";"951,0";"950,6";"0,6";"191,0";"2,5";"";"0,0"
"01/01/2023";"0100";"24,9";"25,0";"24,1";"81,0";"85,0";"78,0";"21,4";"21,6";"20,9";"951,8";"951,8";"951,0";"1,5";"47,0";"2,5";"";"0,0"
"01/01/2023";"0200";"23,6";"25,2";"23,6";"81,0";"81,0";"74,0";"20,1";"21,2";"19,9";"952,1";"952,2";"951,8";"0,5";"302,0";"3,8";"";"0,0"
"01/01/2023";"0300";"23,6";"23,9";"23,5";"82,0";"83,0";"79,0";"20,4";"20,4";"20,0";"951,8";"952,2";"951,8";"1,9";"42,0";"3,3";"";"0,0"
"01/01/2023";"0400";"23,1";"23,6";"22,9";"85,0";"85,0";"82,0";"20,4";"20,5";"20,3";"951,2";"951,8";"951,2";"1,5";"48,0";"3,0";"";"0,0"
"01/01/2023";"0500";"23,0";"23,5";"22,8";"84,0";"85,0";"82,0";"20,2";"20,4";"20,1";"950,4";"951,2";"950,4";"2,2";"47,0";"3,5";"";"0,0"
"01/01/2023";"0600";"23,7";"23,7";"23,0";"78,0";"84,0";"78,0";"19,7";"20,2";"19,6";"949,9";"950,4";"949,9";"2,4";"4,0";"4,2";"";"0,0"
"01/01/2023";"0700";"23,3";"23,7";"22,9";"79,0";"81,0";"78,0";"19,5";"19,7";"19,4";"950,1";"950,2";"949,9";"2,2";"12,0";"4,2";"";"0,0"
"01/01/2023";"0800";"22,4";"23,6";"22,4";"83,0";"83,0";"78,0";"19,3";"19,5";"19,3";"950,3";"950,3";"949,9";"2,0";"32,0";"5,0";"";"0,0"
"01/01/2023";"0900";"22,5";"22,6";"22,0";"83,0";"85,0";"83,0";"19,5";"19,6";"19,3";"950,8";"950,8";"950,3";"3,0";"40,0";"4,2";"0,60";"0,0"
"01/01/2023";"1000";"23,9";"23,9";"22,3";"78,0";"84,0";"78,0";"20,0";"20,0";"19,5";"951,4";"951,4";"950,8";"2,6";"38,0";"4,5";"206,50";"0,0"
"01/01/2023";"1100";"26,2";"26,2";"23,9";"71,0";"78,0";"70,0";"20,4";"20,5";"19,9";"952,3";"952,3";"951,4";"2,7";"11,0";"4,4";"986,60";"0,0"
"01/01/2023";"1200";"27,8";"28,0";"26,2";"64,0";"71,0";"64,0";"20,2";"21,2";"20,2";"952,9";"952,9";"952,3";"3,4";"356,0";"6,6";"1888,80";"0,0"
"01/01/2023";"1300";"28,6";"28,6";"27,4";"65,0";"66,0";"63,0";"21,3";"21,3";"20,0";"953,2";"953,2";"952,9";"4,4";"334,0";"8,1";"2605,20";"0,0"
"01/01/2023";"1400";"29,3";"29,3";"28,0";"60,0";"65,0";"60,0";"20,8";"21,6";"20,4";"953,0";"953,2";"953,0";"4,3";"324,0";"8,9";"2903,00";"0,0"
"01/01/2023";"1500";"30,3";"30,4";"29,0";"58,0";"61,0";"56,0";"21,1";"21,4";"20,1";"952,7";"953,1";"952,7";"3,4";"334,0";"9,7";"3691,20";"0,0"
"01/01/2023";"1600";"28,5";"30,4";"25,1";"72,0";"79,0";"56,0";"23,0";"23,5";"19,1";"952,3";"952,7";"952,3";"2,2";"357,0";"11,9";"1913,90";"0,2"
"01/01/2023";"1700";"29,6";"30,0";"24,4";"67,0";"80,0";"64,0";"22,7";"23,9";"20,0";"951,3";"952,5";"951,3";"2,9";"344,0";"9,1";"2408,50";"0,2"
"01/01/2023";"1800";"28,9";"30,2";"28,7";"65,0";"67,0";"59,0";"21,5";"23,0";"20,8";"950,4";"951,3";"950,4";"2,0";"300,0";"6,0";"2190,10";"0,2"
"01/01/2023";"1900";"29,3";"29,3";"28,7";"63,0";"68,0";"63,0";"21,4";"22,4";"21,0";"949,5";"950,4";"949,3";"0,8";"280,0";"3,6";"1057,30";"0,0"
"01/01/2023";"2000";"30,2";"30,5";"29,1";"59,0";"68,0";"57,0";"21,3";"22,8";"20,5";"949,1";"949,7";"949,0";"1,3";"319,0";"2,8";"1322,60";"0,0"
"01/01/2023";"2100";"30,4";"31,0";"29,6";"56,0";"60,0";"52,0";"20,6";"21,4";"20,0";"948,7";"949,3";"948,7";"1,7";"318,0";"3,1";"986,60";"0,0"
"01/01/2023";"2200";"27,6";"30,6";"27,6";"68,0";"69,0";"55,0";"21,3";"21,3";"20,1";"949,2";"949,2";"948,6";"1,7";"19,0";"3,6";"232,60";"0,0"
"01/01/2023";"2300";"26,3";"27,6";"26,0";"77,0";"77,0";"68,0";"21,9";"21,9";"21,2";"949,9";"949,9";"949,2";"1,3";"90,0";"3,3";"15,50";"0,0"
"02/01/2023";"0000";"27,1";"27,3";"26,3";"74,0";"77,0";"73,0";"22,0";"22,2";"21,9";"950,9";"950,9";"949,9";"2,3";"61,0";"4,5";"";"0,0"
"02/01/2023";"0100";"25,9";"27,1";"25,7";"76,0";"79,0";"70,0";"21,5";"22,1";"20,7";"951,0";"951,0";"950,8";"1,7";"46,0";"3,6";"";"0,0"
"02/01/2023";"0200";"24,9";"26,0";"24,9";"77,0";"79,0";"73,0";"20,6";"21,4";"20,5";"951,2";"951,2";"951,0";"1,9";"42,0";"3,6";"";"0,0"
"02/01/2023";"0300";"25,2";"25,9";"24,6";"77,0";"80,0";"74,0";"20,9";"21,0";"20,7";"951,5";"951,7";"951,1";"1,9";"67,0";"3,7";"";"0,0"
"02/01/2023";"0400";"25,0";"25,2";"24,8";"77,0";"79,0";"77,0";"20,7";"21,0";"20,7";"950,7";"951,5";"950,7";"1,9";"34,0";"3,6";"";"0,0"
"02/01/2023";"0500";"24,8";"25,4";"24,5";"77,0";"79,0";"76,0";"20,6";"20,9";"20,6";"950,0";"950,7";"950,0";"2,9";"54,0";"4,9";"";"0,0"
"02/01/2023";"0600";"24,6";"25,0";"24,5";"79,0";"79,0";"76,0";"20,7";"20,7";"20,4";"949,7";"950,0";"949,6";"2,4";"37,0";"4,8";"";"0,0"
"02/01/2023";"0700";"24,4";"25,0";"24,4";"80,0";"80,0";"77,0";"20,7";"20,8";"20,7";"949,8";"950,0";"949,6";"1,0";"6,0";"4,5";"";"0,0"
"02/01/2023";"0800";"23,4";"24,5";"23,4";"84,0";"84,0";"80,0";"20,6";"20,8";"20,6";"950,2";"950,2";"949,8";"0,8";"316,0";"3,1";"";"0,0"
"02/01/2023";"0900";"24,0";"24,5";"23,2";"81,0";"85,0";"80,0";"20,5";"20,9";"20,5";"950,5";"950,5";"950,2";"1,7";"345,0";"4,6";"";"0,0"
"02/01/2023";"1000";"24,9";"24,9";"23,9";"78,0";"82,0";"78,0";"20,8";"20,9";"20,5";"950,6";"950,7";"950,5";"1,8";"343,0";"3,8";"166,20";"0,0"
"02/01/2023";"1100";"26,5";"26,7";"24,9";"71,0";"78,0";"71,0";"20,9";"21,4";"20,8";"951,2";"951,2";"950,6";"3,0";"10,0";"5,3";"975,20";"0,0"
"02/01/2023";"1200";"26,0";"27,4";"26,0";"77,0";"78,0";"68,0";"21,7";"21,7";"20,8";"951,8";"951,9";"951,2";"2,1";"310,0";"5,1";"882,60";"0,2"
"02/01/2023";"1300";"27,7";"28,0";"26,0";"69,0";"78,0";"66,0";"21,4";"22,4";"20,6";"951,9";"952,0";"951,7";"2,7";"308,0";"4,9";"1941,40";"0,0"
"02/01/2023";"1400";"28,7";"29,3";"27,7";"65,0";"69,0";"61,0";"21,6";"22,0";"20,8";"951,7";"952,0";"951,7";"3,3";"313,0";"6,5";"2924,30";"0,0"
"02/01/2023";"1500";"28,7";"29,3";"28,7";"66,0";"67,0";"63,0";"21,7";"22,1";"20,9";"951,1";"951,7";"951,1";"2,4";"308,0";"6,7";"2161,30";"0,0"
"02/01/2023";"1600";"29,0";"29,7";"28,4";"62,0";"67,0";"61,0";"21,1";"22,0";"20,8";"949,4";"951,1";"949,4";"2,8";"317,0";"5,2";"1654,50";"0,0"
"02/01/2023";"1700";"26,2";"29,0";"25,1";"78,0";"88,0";"62,0";"22,1";"23,3";"21,2";"948,8";"949,4";"948,7";"0,8";"304,0";"5,2";"1122,50";"1,6"
"02/01/2023";"1800";"26,5";"28,1";"26,2";"74,0";"79,0";"66,0";"21,6";"22,7";"21,0";"947,9";"948,8";"947,5";"1,9";"68,0";"3,9";"952,30";"0,0"
"02/01/2023";"1900";"20,9";"26,6";"20,9";"92,0";"92,0";"74,0";"19,6";"22,5";"19,4";"949,0";"949,4";"947,6";"7,5";"139,0";"11,9";"119,10";"9,0"
"02/01/2023";"2000";"20,7";"21,6";"20,3";"91,0";"93,0";"89,0";"19,2";"20,2";"18,7";"949,0";"949,3";"948,3";"4,9";"115,0";"12,9";"38,20";"3,2"
"02/01/2023";"2100";"20,6";"20,8";"20,6";"89,0";"91,0";"89,0";"18,7";"19,2";"18,7";"948,5";"949,0";"948,5";"5,7";"82,0";"10,2";"33,10";"0,6"
"02/01/2023";"2200";"21,2";"21,2";"20,5";"89,0";"90,0";"89,0";"19,3";"19,3";"18,7";"948,6";"948,8";"948,3";"4,6";"76,0";"9,7";"61,00";"0,4"
"02/01/2023";"2300";"21,2";"21,4";"21,2";"88,0";"89,0";"87,0";"19,2";"19,4";"19,2";"949,2";"949,3";"948,2";"3,7";"59,0";"7,4";"6,50";"0,0"
"03/01/2023";"0000";"21,2";"21,2";"20,9";"87,0";"90,0";"87,0";"19,0";"19,2";"19,0";"950,0";"950,1";"949,2";"3,9";"66,0";"6,6";"";"0,0"
"03/01/2023";"0100";"21,9";"22,0";"21,2";"85,0";"88,0";"84,0";"19,1";"19,2";"19,0";"949,7";"950,0";"949,5";"3,3";"58,0";"6,3";"";"0,0"
"03/01/2023";"0200";"21,3";"22,0";"21,3";"87,0";"87,0";"83,0";"19,0";"19,2";"19,0";"949,5";"949,8";"949,5";"0,8";"358,0";"5,7";"";"0,0"
"03/01/2023";"0300";"21,1";"21,7";"21,0";"87,0";"88,0";"85,0";"18,8";"19,1";"18,8";"948,6";"949,5";"948,6";"2,1";"76,0";"4,5";"";"0,0"
"03/01/2023";"0400";"21,3";"22,0";"21,0";"85,0";"87,0";"81,0";"18,7";"18,8";"18,5";"948,4";"948,6";"947,8";"1,5";"341,0";"5,0";"";"0,0"
"03/01/2023";"0500";"19,9";"21,3";"19,9";"93,0";"93,0";"85,0";"18,8";"18,9";"18,4";"948,5";"948,7";"948,4";"0,5";"306,0";"3,1";"";"0,0"
"03/01/2023";"0600";"20,1";"20,1";"19,8";"94,0";"94,0";"93,0";"19,2";"19,2";"18,8";"948,2";"948,5";"948,2";"0,6";"283,0";"1,1";"";"0,0"
"03/01/2023";"0700";"21,2";"21,3";"20,1";"91,0";"94,0";"91,0";"19,6";"19,8";"19,2";"949,0";"949,0";"948,2";"3,4";"312,0";"7,0";"";"0,2"
"03/01/2023";"0800";"20,9";"21,2";"20,9";"93,0";"93,0";"91,0";"19,7";"19,8";"19,6";"949,2";"949,3";"949,0";"1,5";"336,0";"6,9";"";"0,0"
"03/01/2023";"0900";"20,9";"20,9";"20,8";"93,0";"93,0";"93,0";"19,7";"19,7";"19,7";"949,2";"949,2";"949,0";"2,4";"360,0";"4,0";"";"0,0"
"03/01/2023";"1000";"21,1";"21,1";"20,8";"92,0";"93,0";"92,0";"19,8";"19,8";"19,7";"949,7";"949,7";"949,2";"2,5";"353,0";"5,5";"74,80";"0,0"
"03/01/2023";"1100";"21,8";"21,8";"21,1";"89,0";"92,0";"89,0";"20,0";"20,0";"19,7";"950,1";"950,1";"949,6";"3,6";"336,0";"6,9";"485,00";"0,0"
"03/01/2023";"1200";"22,0";"22,1";"21,8";"88,0";"90,0";"87,0";"20,0";"20,1";"19,8";"950,7";"950,7";"950,1";"3,6";"339,0";"7,1";"510,00";"0,0"
"03/01/2023";"1300";"23,1";"23,1";"22,0";"87,0";"89,0";"86,0";"20,8";"20,8";"19,9";"950,9";"951,0";"950,7";"4,9";"338,0";"10,6";"702,90";"0,2"
"03/01/2023";"1400";"24,0";"24,0";"23,1";"81,0";"87,0";"79,0";"20,4";"21,1";"19,9";"950,8";"951,0";"950,8";"3,9";"332,0";"10,2";"1411,70";"0,0"
"03/01/2023";"1500";"23,8";"24,3";"23,6";"80,0";"82,0";"77,0";"20,2";"20,8";"19,9";"950,2";"950,8";"950,2";"2,9";"316,0";"7,8";"1085,50";"0,0"
"03/01/2023";"1600";"24,3";"24,4";"23,8";"77,0";"81,0";"77,0";"19,9";"20,7";"19,9";"949,5";"950,2";"949,5";"3,0";"333,0";"5,7";"708,00";"0,0"
"03/01/2023";"1700";"25,5";"25,6";"24,2";"73,0";"78,0";"73,0";"20,3";"21,0";"20,0";"948,8";"949,5";"948,8";"3,0";"329,0";"7,1";"1420,20";"0,0"
"03/01/2023";"1800";"25,5";"25,8";"25,0";"70,0";"75,0";"69,0";"19,7";"20,7";"19,4";"948,2";"948,8";"948,2";"3,4";"312,0";"8,1";"1337,20";"0,0"
