"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2024";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2024";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2024";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2024";"0300";"29,4";"29,8";"29,4";"63,0";"64,0";"61,0";"21,7";"22,2";"21,5";"990,6";"990,7";"990,5";"1,7";"349,0";"3,1";"";"0,0"
"01/01/2024";"0400";"28,8";"29,4";"28,6";"67,0";"68,0";"63,0";"21,9";"22,0";"21,7";"990,2";"990,6";"990,2";"1,2";"356,0";"3,2";"";"0,0"
"01/01/2024";"0500";"28,4";"28,8";"28,4";"67,0";"68,0";"66,0";"21,8";"22,0";"21,7";"989,4";"990,2";"989,4";"1,7";"6,0";"3,1";"";"0,0"
"01/01/2024";"0600";"28,5";"28,6";"28,3";"65,0";"68,0";"65,0";"21,3";"21,9";"21,2";"988,8";"989,4";"988,8";"1,5";"341,0";"3,3";"";"0,0"
"01/01/2024";"0700";"28,4";"28,6";"28,3";"65,0";"65,0";"63,0";"21,1";"21,3";"20,9";"988,9";"988,9";"988,5";"1,8";"337,0";"3,5";"";"0,0"
"01/01/2024";"0800";"27,7";"28,4";"27,7";"68,0";"68,0";"64,0";"21,2";"21,2";"20,9";"989,0";"989,0";"988,8";"2,7";"11,0";"6,1";"";"0,0"
"01/01/2024";"0900";"26,6";"27,7";"26,6";"72,0";"73,0";"68,0";"21,3";"21,8";"21,2";"989,6";"989,7";"989,0";"2,7";"10,0";"6,2";"";"0,0"
"01/01/2024";"1000";"26,0";"26,6";"26,0";"75,0";"75,0";"72,0";"21,2";"21,4";"21,2";"990,3";"990,3";"989,5";"1,6";"36,0";"6,3";"56,90";"0,0"
"01/01/2024";"1100";"26,5";"26,5";"25,9";"75,0";"76,0";"75,0";"21,7";"21,7";"21,2";"991,0";"991,0";"990,3";"1,4";"18,0";"4,1";"357,40";"0,0"
"01/01/2024";"1200";"28,1";"28,2";"26,4";"68,0";"75,0";"68,0";"21,5";"22,0";"21,4";"991,4";"991,4";"991,0";"1,7";"30,0";"5,5";"1087,60";"0,0"
"01/01/2024";"1300";"28,4";"28,7";"27,7";"66,0";"70,0";"64,0";"21,3";"21,8";"20,9";"991,7";"991,8";"991,4";"1,5";"25,0";"5,5";"1433,20";"0,0"
"01/01/2024";"1400";"29,5";"29,5";"28,4";"60,0";"66,0";"60,0";"20,8";"21,4";"20,6";"991,5";"991,7";"991,5";"2,6";"351,0";"5,3";"1417,80";"0,0"
"01/01/2024";"1500";"30,8";"31,1";"29,0";"57,0";"62,0";"55,0";"21,3";"21,7";"20,6";"990,7";"991,5";"990,7";"2,6";"346,0";"6,2";"1894,30";"0,0"
"01/01/2024";"1600";"30,5";"31,4";"30,5";"57,0";"58,0";"54,0";"20,9";"21,5";"20,6";"990,0";"990,7";"989,8";"2,4";"254,0";"8,1";"2131,00";"0,0"
"01/01/2024";"1700";"27,6";"30,5";"27,4";"71,0";"72,0";"57,0";"21,8";"22,2";"20,9";"988,8";"990,0";"988,8";"1,6";"201,0";"8,5";"1410,50";"0,0"
"01/01/2024";"1800";"28,6";"29,1";"27,5";"67,0";"73,0";"66,0";"21,9";"22,5";"21,6";"987,5";"988,8";"987,5";"1,4";"152,0";"3,9";"1100,90";"0,0"
"01/01/2024";"1900";"29,7";"29,8";"28,4";"65,0";"69,0";"64,0";"22,3";"22,4";"21,5";"987,3";"987,5";"987,3";"1,1";"137,0";"3,9";"1277,50";"0,0"
"01/01/2024";"2000";"30,0";"30,5";"29,4";"62,0";"65,0";"61,0";"22,0";"22,6";"21,8";"987,3";"987,3";"986,9";"1,7";"153,0";"3,5";"1216,00";"0,0"
"01/01/2024";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2024";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2024";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2024";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2024";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2024";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2024";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2024";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2024";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2024";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
