"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2024";"0000";"24,7";"24,7";"24,5";"93,0";"93,0";"92,0";"23,4";"23,4";"23,1";"1006,3";"1006,3";"1005,5";"0,0";"326,0";"2,6";"";""
"01/01/2024";"0100";"24,8";"24,8";"24,6";"92,0";"93,0";"92,0";"23,4";"23,5";"23,1";"1006,7";"1006,7";"1006,3";"0,6";"244,0";"2,4";"";""
"01/01/2024";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2024";"0300";"24,4";"24,6";"24,3";"93,0";"93,0";"92,0";"23,2";"23,3";"23,1";"1007,2";"1007,2";"1006,8";"0,0";"315,0";"1,9";"";""
"01/01/2024";"0400";"24,2";"24,4";"24,1";"93,0";"93,0";"93,0";"23,0";"23,2";"22,9";"1006,7";"1007,2";"1006,7";"0,0";"289,0";"1,1";"";""
"01/01/2024";"0500";"24,1";"24,3";"24,0";"93,0";"93,0";"93,0";"22,9";"23,1";"22,8";"1005,7";"1006,7";"1005,7";"0,0";"315,0";"0,7";"";""
"01/01/2024";"0600";"23,8";"24,1";"23,8";"93,0";"93,0";"93,0";"22,7";"22,9";"22,7";"1005,0";"1005,7";"1005,0";"0,1";"322,0";"0,8";"";""
"01/01/2024";"0700";"23,6";"23,8";"23,6";"94,0";"94,0";"93,0";"22,5";"22,7";"22,5";"1005,2";"1005,4";"1005,0";"0,0";"321,0";"1,3";"";""
"01/01/2024";"0800";"23,7";"23,7";"23,6";"94,0";"94,0";"94,0";"22,7";"22,7";"22,5";"1005,2";"1005,2";"1005,1";"0,0";"323,0";"0,0";"";""
"01/01/2024";"0900";"23,8";"23,8";"23,6";"94,0";"94,0";"94,0";"22,8";"22,8";"22,6";"1005,5";"1005,6";"1005,2";"0,0";"311,0";"0,0";"";""
